Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,494D2FBS,4dr Sdn HEV Limited,48,1 (740-999),$500,0.00265,0.53
2025,494D2FBS,4dr Sdn HEV Limited,48,2 (720-739),$500,0.00265,0.53
2025,494D2FBS,4dr Sdn HEV Limited,48,3 (700-719),$500,0.00285,0.53
2025,494D2FBS,4dr Sdn HEV Limited,48,4 (680-699),$500,0.00302,0.53
2025,494D2FBS,4dr Sdn HEV Limited,48,5 (660-679),$500,0.00328,0.53
2025,494D2FBS,4dr Sdn HEV Limited,48,6 (640-659),$500,0.00342,0.53
2025,494D2FBS,4dr Sdn HEV Limited,48,7 (620-639),$500,0.00356,0.53
2025,4N4A2FT5,4dr N DCT,36,1 (740-999),$0,0.00253,0.59
2025,4N4A2FT5,4dr N DCT,36,2 (720-739),$0,0.00290,0.59
2025,4N4A2FT5,4dr N DCT,36,3 (700-719),$0,0.00308,0.59
2025,4N4A2FT5,4dr N DCT,36,4 (680-699),$0,0.00321,0.59
2025,4N4A2FT5,4dr N DCT,36,5 (660-679),$0,0.00339,0.59
2025,4N4A2FT5,4dr N DCT,36,6 (640-659),$0,0.00353,0.59
2025,4N4A2FT5,4dr N DCT,36,7 (620-639),$0,0.00358,0.59
2025,4N4A3FT5,4dr N MT,36,1 (740-999),$0,0.00253,0.59
2025,4N4A3FT5,4dr N MT,36,2 (720-739),$0,0.00290,0.59
2025,4N4A3FT5,4dr N MT,36,3 (700-719),$0,0.00308,0.59
2025,4N4A3FT5,4dr N MT,36,4 (680-699),$0,0.00321,0.59
2025,4N4A3FT5,4dr N MT,36,5 (660-679),$0,0.00339,0.59
2025,4N4A3FT5,4dr N MT,36,6 (640-659),$0,0.00353,0.59
2025,4N4A3FT5,4dr N MT,36,7 (620-639),$0,0.00358,0.59
2025,4N4A2FT5,4dr N DCT,39,1 (740-999),$0,0.00253,0.55
2025,4N4A2FT5,4dr N DCT,39,2 (720-739),$0,0.00290,0.55
2025,4N4A2FT5,4dr N DCT,39,3 (700-719),$0,0.00308,0.55
2025,4N4A2FT5,4dr N DCT,39,4 (680-699),$0,0.00321,0.55
2025,4N4A2FT5,4dr N DCT,39,5 (660-679),$0,0.00339,0.55
2025,4N4A2FT5,4dr N DCT,39,6 (640-659),$0,0.00353,0.55
2025,4N4A2FT5,4dr N DCT,39,7 (620-639),$0,0.00358,0.55
2025,4N4A3FT5,4dr N MT,39,1 (740-999),$0,0.00253,0.55
2025,4N4A3FT5,4dr N MT,39,2 (720-739),$0,0.00290,0.55
2025,4N4A3FT5,4dr N MT,39,3 (700-719),$0,0.00308,0.55
2025,4N4A3FT5,4dr N MT,39,4 (680-699),$0,0.00321,0.55
2025,4N4A3FT5,4dr N MT,39,5 (660-679),$0,0.00339,0.55
2025,4N4A3FT5,4dr N MT,39,6 (640-659),$0,0.00353,0.55
2025,4N4A3FT5,4dr N MT,39,7 (620-639),$0,0.00358,0.55
2025,4N4A2FT5,4dr N DCT,48,1 (740-999),$0,0.00295,0.48
2025,4N4A2FT5,4dr N DCT,48,2 (720-739),$0,0.00329,0.48
2025,4N4A2FT5,4dr N DCT,48,3 (700-719),$0,0.00349,0.48
2025,4N4A2FT5,4dr N DCT,48,4 (680-699),$0,0.00366,0.48
2025,4N4A2FT5,4dr N DCT,48,5 (660-679),$0,0.00392,0.48
2025,4N4A2FT5,4dr N DCT,48,6 (640-659),$0,0.00406,0.48
2025,4N4A2FT5,4dr N DCT,48,7 (620-639),$0,0.00420,0.48
2025,4N4A3FT5,4dr N MT,48,1 (740-999),$0,0.00295,0.47
2025,4N4A3FT5,4dr N MT,48,2 (720-739),$0,0.00329,0.47
2025,4N4A3FT5,4dr N MT,48,3 (700-719),$0,0.00349,0.47
2025,4N4A3FT5,4dr N MT,48,4 (680-699),$0,0.00366,0.47
2025,4N4A3FT5,4dr N MT,48,5 (660-679),$0,0.00392,0.47
2025,4N4A3FT5,4dr N MT,48,6 (640-659),$0,0.00406,0.47
2025,4N4A3FT5,4dr N MT,48,7 (620-639),$0,0.00420,0.47
2025,5N4A2AEZ,4dr Wgn N,24,1 (740-999),$7500,0.00017,0.54
2025,5N4A2AEZ,4dr Wgn N,24,2 (720-739),$7500,0.00017,0.54
2025,5N4A2AEZ,4dr Wgn N,24,3 (700-719),$7500,0.00030,0.54
2025,5N4A2AEZ,4dr Wgn N,24,4 (680-699),$7500,0.00043,0.54
2025,5N4A2AEZ,4dr Wgn N,24,5 (660-679),$7500,0.00056,0.54
2025,5N4A2AEZ,4dr Wgn N,24,6 (640-659),$7500,0.00070,0.54
2025,5N4A2AEZ,4dr Wgn N,24,7 (620-639),$7500,0.00091,0.54
2025,5N4A2AEZ,4dr Wgn N,36,1 (740-999),$7500,0.00016,0.47
2025,5N4A2AEZ,4dr Wgn N,36,2 (720-739),$7500,0.00016,0.47
2025,5N4A2AEZ,4dr Wgn N,36,3 (700-719),$7500,0.00034,0.47
2025,5N4A2AEZ,4dr Wgn N,36,4 (680-699),$7500,0.00047,0.47
2025,5N4A2AEZ,4dr Wgn N,36,5 (660-679),$7500,0.00065,0.47
2025,5N4A2AEZ,4dr Wgn N,36,6 (640-659),$7500,0.00079,0.47
2025,5N4A2AEZ,4dr Wgn N,36,7 (620-639),$7500,0.00084,0.47
2025,5N4A2AEZ,4dr Wgn N,39,1 (740-999),$7500,0.00058,0.42
2025,5N4A2AEZ,4dr Wgn N,39,2 (720-739),$7500,0.00058,0.42
2025,5N4A2AEZ,4dr Wgn N,39,3 (700-719),$7500,0.00076,0.42
2025,5N4A2AEZ,4dr Wgn N,39,4 (680-699),$7500,0.00089,0.42
2025,5N4A2AEZ,4dr Wgn N,39,5 (660-679),$7500,0.00107,0.42
2025,5N4A2AEZ,4dr Wgn N,39,6 (640-659),$7500,0.00121,0.42
2025,5N4A2AEZ,4dr Wgn N,39,7 (620-639),$7500,0.00126,0.42
2025,5N4A2AEZ,4dr Wgn N,48,1 (740-999),$7500,0.00058,0.36
2025,5N4A2AEZ,4dr Wgn N,48,2 (720-739),$7500,0.00058,0.36
2025,5N4A2AEZ,4dr Wgn N,48,3 (700-719),$7500,0.00078,0.36
2025,5N4A2AEZ,4dr Wgn N,48,4 (680-699),$7500,0.00095,0.36
2025,5N4A2AEZ,4dr Wgn N,48,5 (660-679),$7500,0.00121,0.36
2025,5N4A2AEZ,4dr Wgn N,48,6 (640-659),$7500,0.00135,0.36
2025,5N4A2AEZ,4dr Wgn N,48,7 (620-639),$7500,0.00149,0.36
2025,50402REZ,4dr Wgn SE (Standard Range),24,1 (740-999),$13500,0.00226,0.58
2025,50402REZ,4dr Wgn SE (Standard Range),24,2 (720-739),$13500,0.00226,0.58
2025,50402REZ,4dr Wgn SE (Standard Range),24,3 (700-719),$13500,0.00239,0.58
2025,50402REZ,4dr Wgn SE (Standard Range),24,4 (680-699),$13500,0.00252,0.58
2025,50402REZ,4dr Wgn SE (Standard Range),24,5 (660-679),$13500,0.00265,0.58
2025,50402REZ,4dr Wgn SE (Standard Range),24,6 (640-659),$13500,0.00279,0.58
2025,50402REZ,4dr Wgn SE (Standard Range),24,7 (620-639),$13500,0.00300,0.58
2025,50412AEZ,4dr Wgn SE,24,1 (740-999),$13750,0.00226,0.62
2025,50412AEZ,4dr Wgn SE,24,2 (720-739),$13750,0.00226,0.62
2025,50412AEZ,4dr Wgn SE,24,3 (700-719),$13750,0.00239,0.62
2025,50412AEZ,4dr Wgn SE,24,4 (680-699),$13750,0.00252,0.62
2025,50412AEZ,4dr Wgn SE,24,5 (660-679),$13750,0.00265,0.62
2025,50412AEZ,4dr Wgn SE,24,6 (640-659),$13750,0.00279,0.62
2025,50412AEZ,4dr Wgn SE,24,7 (620-639),$13750,0.00300,0.62
2025,50412REZ,4dr Wgn SE,24,1 (740-999),$13250,0.00224,0.62
