Model_Year,Model_Number,Trim,Lease_Term,Tier,Lease_Cash,Residual_Value,Residual_Percentage
2025,494H2F4S,4dr Sdn SEL Convenience,36,8 (580-619),$1750,0.00370,0.60
2025,494J2F4S,4dr Sdn Limited,36,1 (740-999),$500,0.00226,0.63
2025,494J2F4S,4dr Sdn Limited,36,2 (720-739),$500,0.00226,0.63
2025,494J2F4S,4dr Sdn Limited,36,3 (700-719),$500,0.00244,0.63
2025,494J2F4S,4dr Sdn Limited,36,4 (680-699),$500,0.00257,0.63
2025,494J2F4S,4dr Sdn Limited,36,5 (660-679),$500,0.00275,0.63
2025,494J2F4S,4dr Sdn Limited,36,6 (640-659),$500,0.00289,0.63
2025,494J2F4S,4dr Sdn Limited,36,7 (620-639),$500,0.00294,0.63
2025,494J2F4S,4dr Sdn Limited,36,8 (580-619),$500,0.00370,0.63
2025,49452FT5,4dr Sdn N-Line,39,1 (740-999),$750,0.00239,0.62
2025,49452FT5,4dr Sdn N-Line,39,2 (720-739),$750,0.00239,0.62
2025,49452FT5,4dr Sdn N-Line,39,3 (700-719),$750,0.00257,0.62
2025,49452FT5,4dr Sdn N-Line,39,4 (680-699),$750,0.00270,0.62
2025,49452FT5,4dr Sdn N-Line,39,5 (660-679),$750,0.00288,0.62
2025,49452FT5,4dr Sdn N-Line,39,6 (640-659),$750,0.00302,0.62
2025,49452FT5,4dr Sdn N-Line,39,7 (620-639),$750,0.00307,0.62
2025,494E2F4S,4dr Sdn SE,39,1 (740-999),$1500,0.00239,0.57
2025,494E2F4S,4dr Sdn SE,39,2 (720-739),$1500,0.00239,0.57
2025,494E2F4S,4dr Sdn SE,39,3 (700-719),$1500,0.00257,0.57
2025,494E2F4S,4dr Sdn SE,39,4 (680-699),$1500,0.00270,0.57
2025,494E2F4S,4dr Sdn SE,39,5 (660-679),$1500,0.00288,0.57
2025,494E2F4S,4dr Sdn SE,39,6 (640-659),$1500,0.00302,0.57
2025,494E2F4S,4dr Sdn SE,39,7 (620-639),$1500,0.00307,0.57
2025,494G2F4S,4dr Sdn SEL Sport,39,1 (740-999),$1250,0.00243,0.58
2025,494G2F4S,4dr Sdn SEL Sport,39,2 (720-739),$1250,0.00243,0.58
2025,494G2F4S,4dr Sdn SEL Sport,39,3 (700-719),$1250,0.00261,0.58
2025,494G2F4S,4dr Sdn SEL Sport,39,4 (680-699),$1250,0.00274,0.58
2025,494G2F4S,4dr Sdn SEL Sport,39,5 (660-679),$1250,0.00292,0.58
2025,494G2F4S,4dr Sdn SEL Sport,39,6 (640-659),$1250,0.00306,0.58
2025,494G2F4S,4dr Sdn SEL Sport,39,7 (620-639),$1250,0.00311,0.58
2025,494H2F4S,4dr Sdn SEL Convenience,39,1 (740-999),$1250,0.00253,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,39,2 (720-739),$1250,0.00253,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,39,3 (700-719),$1250,0.00308,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,39,4 (680-699),$1250,0.00321,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,39,5 (660-679),$1250,0.00339,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,39,6 (640-659),$1250,0.00353,0.60
2025,494H2F4S,4dr Sdn SEL Convenience,39,7 (620-639),$1250,0.00358,0.60
2025,494J2F4S,4dr Sdn Limited,39,1 (740-999),$1500,0.00245,0.59
2025,494J2F4S,4dr Sdn Limited,39,2 (720-739),$1500,0.00245,0.59
2025,494J2F4S,4dr Sdn Limited,39,3 (700-719),$1500,0.00263,0.59
2025,494J2F4S,4dr Sdn Limited,39,4 (680-699),$1500,0.00276,0.59
2025,494J2F4S,4dr Sdn Limited,39,5 (660-679),$1500,0.00294,0.59
2025,494J2F4S,4dr Sdn Limited,39,6 (640-659),$1500,0.00308,0.59
2025,494J2F4S,4dr Sdn Limited,39,7 (620-639),$1500,0.00313,0.59
2025,49452FT5,4dr Sdn N-Line,48,1 (740-999),$750,0.00295,0.54
2025,49452FT5,4dr Sdn N-Line,48,2 (720-739),$750,0.00295,0.54
2025,49452FT5,4dr Sdn N-Line,48,3 (700-719),$750,0.00349,0.54
2025,49452FT5,4dr Sdn N-Line,48,4 (680-699),$750,0.00366,0.54
2025,49452FT5,4dr Sdn N-Line,48,5 (660-679),$750,0.00392,0.54
2025,49452FT5,4dr Sdn N-Line,48,6 (640-659),$750,0.00406,0.54
2025,49452FT5,4dr Sdn N-Line,48,7 (620-639),$750,0.00420,0.54
2025,49452FT5,4dr Sdn N-Line,48,8 (580-619),$750,0.00435,0.54
2025,494E2F4S,4dr Sdn SE,48,1 (740-999),$250,0.00295,0.57
2025,494E2F4S,4dr Sdn SE,48,2 (720-739),$250,0.00295,0.57
2025,494E2F4S,4dr Sdn SE,48,3 (700-719),$250,0.00349,0.57
2025,494E2F4S,4dr Sdn SE,48,4 (680-699),$250,0.00366,0.57
2025,494E2F4S,4dr Sdn SE,48,5 (660-679),$250,0.00392,0.57
2025,494E2F4S,4dr Sdn SE,48,6 (640-659),$250,0.00406,0.57
2025,494E2F4S,4dr Sdn SE,48,7 (620-639),$250,0.00420,0.57
2025,494E2F4S,4dr Sdn SE,48,8 (580-619),$250,0.00435,0.57
2025,494G2F4S,4dr Sdn SEL Sport,48,1 (740-999),$1000,0.00295,0.52
